game_link,name,price,developer,genres,features,publisher,date release,initial release on platform ,recommended_os,cpu,memory,gpu,available achievements,available xp,Critics Recommend,Top Critic Average,OpenCritic Rating
FUSER™₹469,FUSER™,₹469,"Harmonix Music Systems, Inc",null,null,NCSOFT,11/10/20,WindowsWindows,Windows 7 (64 bit) or Newer (64 bit) Windows OS,Intel Core i7-4790k @ 4.0 GHz,16 GB RAM,10 GB,null,null,null,null,null
Kena: Bridge of Spirits₹939,Kena: Bridge of Spirits,₹939,Ember Lab,ActionExplorationAction-AdventureAdventure,AchievementsSingle Player,Ember Lab,09/21/21,WindowsWindows,64-bit Windows 7/8.1/10,AMD Ryzen 5 2600X/Intel i7-6700K or Equivalent,16 GB RAM,25 GB,41 Achievements,1000 XP,83%,81,Strong
Mundaun₹529,Mundaun,₹529,Hidden Fields,HorrorAdventureIndie,Single Player,MWM Interactive,03/16/21,WindowsWindows,Windows 10 (64-bit),Intel Core i5-7400 or AMD Ryzen 1600,16 GB RAM,5 GB available space,,,58%,74,Fair
"Gamedec₹1,499",Gamedec,"₹1,499",Anshar Studios,RPGAdventure,AchievementsSingle Player,Anshar Publishing,09/16/21,WindowsWindows,Windows 10,Intel i7-4770K / AMD Ryzen 5 1500X,16 GB RAM,30 GB available space,null,null,null,null,null
Iron Harvest₹699,Iron Harvest,₹699,King Art Games,ActionCasualStrategy,Co-opMultiplayerSingle Player,PRIME MATTER,11/19/20,WindowsWindows,Windows 10 x64,Intel(R) Core(TM) i7 8700k or AMD equivalent,16 GB RAM,"GeForce RTX 2060 or AMD equivalent, 4 GB VRAM",,,null,null,null
Dark Light₹349,Dark Light,₹349,"Mirari&Co.pty,ltd.",ActionHorrorIndieer,Controller SupportSingle Player,Mirari & Co.,09/09/21,WindowsWindowsMac OSMac OS,Windows 7 or 10,Intel Core i7-4770k or equivalent,16 GB RAM,5 GB available space or more,null,null,null,null,null
Operencia: The Stolen Sun₹670,Operencia,₹670,Zen Studios,ExplorationDungeon CrawlerRPG,Controller SupportSingle PlayerVR,Zen Studios,03/08/19,WindowsWindows,Windows 10 (64bit),Intel Core i7-3770/AMD FX-8350,16 GB RAM,NVIDIA GTX 1060 / AMD Radeon RX 570,,,89%,80,Strong
"Ys IX: Monstrum Nox₹1,419",Ys IX: Monstrum Nox,"₹1,419",Nihon Falcom,ActionRPG,Single Player,"NIS America, Inc.",07/06/21,WindowsWindows,Windows 10/8.1 64-bit,AMD FX-8320 8-Core,16 GB RAM,10 GB available space,,,82%,80,Strong
Timberborn₹589,Timberborn,₹589,Mechanistry,City Builder,Single Player,Mechanistry,09/15/21,WindowsWindowsMac OSMac OS,Windows 10,2.9 GHz 4-core processor,16 GB RAM,5 GB,null,null,null,null,null
"Desperados III₹1,739",Desperados III,"₹1,739",Mimimi Games,Strategy,Single Player,THQ Nordic,06/16/20,WindowsWindows,Windows 10 (Requires a 64-bit processor and operating system),IAMD / Intel processor running at 3.5 GHz or higher (AMD Ryzen 3 1300x or Intel Core i3 8100 or newer is recommended),16 GB RAM,"AMD/NVIDIA dedicated graphics card, with at least 4GB of dedicated VRAM and with at least DirectX 12.0 and Shader Model 6.0 support",,,96%,86,Mighty
Night in the Woods₹469,Night in the Woods,₹469,Infinite Fall,NarrationAdventureer,null,Finji,12/27/20,WindowsWindowsMac OSMac OS,Windows 10,Intel i7 Quad-Core,16 GB RAM,null,,,90%,86,Mighty
The Uncertain: Light at the End₹239,The Uncertain: Light at the End,₹239,New Games Order,PuzzleAdventure,Single Player,META Publishing,07/13/21,Initial Release10/08/20,Windows 10 x64 and UP,Intel core i5 or AMD equivalent or better,16 GB RAM,15 GB,,,6%,46,Weak
Obduction₹709,Obduction,₹709,"Cyan, Inc.",PuzzleAdventureIndie,Single Player,"Cyan, Inc.",07/15/21,Initial Release08/24/16,Windows 10 64 bit,Intel i5 4590 equivalent or better,16 GB RAM,20 GB available space,,,43%,72,Fair
"Destroy All Humans!₹1,139",Destroy all Humans!,"₹1,139",Black Forest Games,ActionAction-AdventureOpen WorldAdventure,Controller Support,THQ Nordic,07/28/20,WindowsWindows,Windows 10 (Requires a 64-bit processor and operating system),IAMD / Intel processor running at 3.5 GHz or higher (AMD Ryzen 3 1300x or Intel Core i3 8100 or newer is recommended),16 GB RAM,"AMD/NVIDIA dedicated graphics card, with at least 4GB of dedicated VRAM and with at least DirectX 12.0 and Shader Model 6.0 support",,,50%,71,Fair
Haven₹589,Haven,₹589,The Game Bakers,RPG,null,The Game Bakers,02/04/21,WindowsWindows,Windows 10 64 Bit,Intel i3 8100 (3.6 GHz) / AMD Ryzen 3 2200G (3.5 GHz),16 GB RAM,5 GB available space,,,75%,75,Strong
Phantom Brigade₹709,Phantom Brigade,₹709,Brace Yourself Games,RPGStrategy,Single Player,Brace Yourself Games,11/16/20,WindowsWindows,Windows 8/10 64-bit,Intel® Core™ i5-4460 or AMD® FX-4300,16 GB RAM,Nvidia® GeForce™ GTX 1060 or AMD® Radeon™ R9 390X (3 GB VRAM),null,null,null,null,null
"The Legend of Heroes: Trails of Cold Steel IV₹1,599",The Legend of Heroes: Trails of Cold Steel IV,"₹1,599",Nihon Falcom,RPG,Single PlayerController Support,"NIS America, Inc.",04/09/21,Initial Release04/16/21,Windows 10/8.1/7 64-bit,AMD FX-8320 8-Core,16 GB RAM,25 GB available space,null,null,88%,82,Strong
"State of Decay 2: Juggernaut Edition₹1,117",State of Decay 2: Juggernaut Edition,"₹1,117",Undead Labs,Adventure,null,Xbox Game Studios,03/13/20,WindowsWindows,Windows 10 64-bit,AMD FX-8350 | Intel i5-4570 @ 3.2GHz,16 GB RAM,17 GB,,,null,null,null
ARK: Survival Evolved₹709,ARK: Survival Evolved,₹709,Studio Wildcard,RPGSurvivalAdventure,Single Player,Snail Games USA,06/11/20,WindowsWindows,Windows 10 (64-bit),Intel Core i5-4670K 3.4GHz / AMD Ryzen R5 1500X or better,16GB,Ragnarok - ARK Expansion Map,,,null,null,null
"Marvel's Guardians of the Galaxy₹2,999",Marvel's Guardians of the Galaxy,"₹2,999",Eidos-Montréal,ActionAction-AdventureAdventure,Single PlayerController Support,Square Enix,10/26/21,WindowsWindows,Windows® 10 64 bit Build 1903,AMD Ryzen™ 5 1600 / Intel® Core™ i7-4790,16GB,80GB,,,86%,82,Strong
"Knockout City™₹1,499",Knockout City™,"₹1,499",Velan Studios,Action,MultiplayerCompetitive,Electronic Arts,05/30/21,WindowsWindows,Windows 10 64-bit,Intel Core i5-6600 Quad Core 3.3 GHz,16GB,Privacy Policy,,,null,null,null
Chivalry 2₹939,Chivalry 2,₹939,Torn Banner Studios,ActionFirst Person,Multiplayer,Tripwire Interactive,06/08/21,WindowsWindows,Windows 10 64-bit,CPU: Intel i7-6700 or AMD Ryzen 5 3500x,16GB,20GB,,,84%,82,Strong
"Saints Row®: The Third™  Remastered₹1,043",Saints Row®: The Third™  Remastered,"₹1,043","Deep Silver Volition, Sperasoft",Action,Multiplayer,Deep Silver,05/22/20,WindowsWindows,Windows 10  (1080p on High Settings),AMD / Intel processor running at 3.5 GHz (AMD FX 8000 series or Intel Core i5 4000 series or newer is recommended).,16GB,"AMD/NVIDIA dedicated graphic card, with at least 6GB of dedicated VRAM (or more) and with at least DirectX 11 and Shader Model 6.1 support. (AMD Radeon RX 5700 and NVIDIA GeForce GTX 1000 series or newer.",,,65%,74,Fair
Itch.ioFree,Itch.io,Free,itch.io,null,null,itch.io,04/22/21,Initial Release03/03/13,Windows 10,64 Bit Quad Core 2GHz CPU,16GB,5GB,,,null,null,null
Claire de Lune₹939,Claire de Lune,₹939,Tactic Studios,PuzzleAdventureer,Single Player,Tactic Studios,07/12/21,WindowsWindows,Windows 10 64-bit,Intel Core i7 6700 or AMD FX 8350,16GB,15GB,,,null,null,null
"Borderlands 3₹2,990",Borderlands 3,"₹2,990",Gearbox Software,First PersonRPGShooter,Controller SupportCo-opSingle Player,2K,09/13/19,WindowsWindowsMac OSMac OS,Windows 7/10 (latest service pack),AMD Ryzen™ 5 2600 (Intel i7-4770),16GB,AMD Radeon™ RX 590 (NVIDIA GeForce GTX 1060 6GB),null,null,78%,80,Strong
Krita₹239,Krita,₹239,Krita Team,Application,null,Krita Project,04/22/21,Initial Release06/21/05,Windows 10,Core i7,16GB,500MB,,,null,null,null
"OUTRIDERS₹2,599",OUTRIDERS,"₹2,599",People Can Fly,ActionAction-AdventureShooter,Co-opMultiplayerSingle Player,Square Enix,04/15/21,Initial Release04/01/21,Windows 10,Intel i7-7700K / AMD Ryzen 5 2600X,16GB,70GB,,,51%,73,Fair
"STAR WARS™ Battlefront™ Ultimate Edition₹1,499",STAR WARS™ Battlefront™ Ultimate Edition,"₹1,499",DICE,ActionShooterAdventure,Co-opMultiplayerSingle Player,Electronic Arts,01/14/21,Initial Release11/16/15,OS: 64-bit Windows 10 or later,Processor (Intel): Intel i5 6600 or equivalent,16GB,40GB,,,33%,71,Fair
"STAR WARS™ Battlefront™ II: Celebration Edition₹2,499",STAR WARS™ Battlefront™ II: Celebration Edition,"₹2,499",DICE,ActionShooterAdventure,Co-opMultiplayerSingle Player,Electronic Arts,01/14/21,WindowsWindows,64-bit Windows 10 or later,Processor (AMD): AMD FX 8350 Wraith Processor (Intel): Intel Core i7 6700 or equivalent,16GB,60GB,,,28%,68,Fair
"Immortals Fenyx Rising Standard Edition₹2,999",Immortals Fenyx Rising,"₹2,999",Ubisoft,ActionAdventure,null,Ubisoft,12/03/20,WindowsWindows,Windows 10 (64-bit only),Intel Core i7-6700 / AMD Ryzen 7 1700,16GB (Dual-channel mode),8GB,null,null,78%,79,Strong
Arcadegeddon Early Access₹469,Arcadegeddon Early Access,₹469,IllFonic,Shooter,Co-opMultiplayerSingle PlayerController Support,IllFonic,07/09/21,WindowsWindows,Microsoft® Windows® 10,Intel® i7 5820K (or similar AMD CPU),16GB RAM,8GB,null,null,null,null,null
"Horizon Zero Dawn™ Complete Edition₹3,299",Horizon Zero Dawn™ Complete Edition,"₹3,299",Guerrilla,ActionRPGAction-AdventureAdventure,Single Player,PlayStation PC LLC,08/07/20,WindowsWindows,Windows 10 64-bits,Intel Core i7-4770K@3.5GHz/Ryzen 5 1500X@3.5GHz,16GB RAM,50~100GB,,,94%,89,Mighty
Darkest Dungeon II₹709,Darkest Dungeon II,₹709,Red Hook Studios,RPGStrategy,Single Player,Red Hook Studios,10/26/21,WindowsWindows,Windows 10,i7 6700k,16GB Ram,10 GB,null,null,null,null,null
Shenmue III - Standard Edition₹699,Shenmue 3,₹699,Ys Net,ActionRPGAdventure,Single Player,Deep Silver,11/19/19,WindowsWindows,Windows 10 (64-bit OS Required),Intel Core i7-7700 (3.60 GHz),16GB RAM,NVIDIA GeForce GTX 1070,null,null,37%,68,Fair
Phantasy Star Online 2 New GenesisFree,Phantasy Star Online 2 New Genesis,Free,SEGA Corporation,ActionRPG,Multiplayer,SEGA Corporation,02/17/21,WindowsWindows,Windows 10 64bit,Intel ® Core™ i9-10900,16GB RAM,103GB,null,null,43%,72,Fair
Swords of Legends OnlineFree,Swords of Legends Online,Free,Wangyuan Shengtang Entertainment Technology CO.,ActionRPG,Co-opMultiplayerSingle Player,Gameforge 4D GmbH,07/09/21,WindowsWindows,Windows 10,AMD Ryzen 5 1600 or Intel Core i5-6600K,16GB RAM,80GB,,,20%,69,Fair
"Mortal Shell₹1,245",Mortal Shell,"₹1,245",Cold Symmetry,IndieRPG,Single Player,Playstack Ltd,08/18/20,WindowsWindows,64-bit processor and operating system,Intel Core i7 or AMD Ryzen 7,16GB RAM,40GB SSD,,,null,null,null
No Straight Roads₹589,No Straight Roads,₹589,Metronomik,ActionOpen World,Single Player,Fireshine Games,08/25/20,WindowsWindows,Windows 10 (with latest service pack),Intel i7-4770 or AMD Ryzen™ 5 2600,16GB RAM,25GB,,,null,null,null
Nuclear Throne₹419,Nuclear Throne,₹419,Vlambeer,ActionRPGRogue-Lite,Single PlayerController Support,Vlambeer,11/07/19,WindowsWindowsMac OSMac OS,Windows XP,2Ghz,1GB,2048 MB RAM,,,95%,86,Mighty
Defense Grid: The Awakening₹239,Defense Grid: The Awakening,₹239,Hidden Path Entertainment,SimulationStrategy,Achievements,Hidden Path Entertainment,12/20/20,WindowsWindows,Windows 10,dual core 2.0GHz CPU or higher,"1GB RAM XP, 1.5GB RAM Vista or higher",1GB available space,87 Achievements,1000 XP,null,null,null
Torchlight II₹560,Torchlight II,₹560,Runic Games,ActionDungeon CrawlerRPGAction-Adventure,Co-op,Gearbox Publishing,07/16/20,WindowsWindowsMac OSMac OS,Windows XP SP3/Vista/Windows 7,x86-compatible 1.4GHz or faster processor,1GB System RAM,null,,,95%,83,Strong
Blaster Master Zero 3₹955,Blaster Master Zero 3,₹955,"INTI CREATES CO.,LTD.",ActionAdventure,Single Player,"INTI CREATES CO.,LTD.",08/26/21,Initial Release07/29/21,"Windows 7, 8.1, 10",2Ghz or faster processer,2 GB,500 MB,,,85%,78,Strong
Synergia₹279,Synergia,₹279,Radi Art,CasualRPGIndie,Single Player,"Top Hat Studios, Inc.",08/10/21,Initial Release07/27/19,Windows 10,2.7GHz Dual-Core CPU,2 GB,3 GB,,,null,null,null
Spotify Music and PodcastsFree,Spotify Music and Podcasts,Free,Spotify AB,Party,null,Spotify AB,12/17/20,WindowsWindowsMac OSMac OS,Windows 7+,2 Ghz,2 GB,null,,,null,null,null
Aerial_Knight's Never Yield₹459,Aerial_Knight's Never Yield,₹459,Aerial_Knight,ActionIndie,Controller Support,Headup,05/19/21,WindowsWindows,Windows 10,3.0 GHz dual core,2 GB,2 GB,,,48%,71,Fair
The Life and Suffering of Sir Brante₹469,The Life and Suffering of Sir Brante,₹469,Sever,NarrationRPGAdventure,Single Player,101XP,03/04/21,WindowsWindows,Microsoft® Windows® 10,Pentium® 4 1.5 GHz / Athlon® XP,2 GB,5 GB,,,79%,83,Strong
RemiLore: Lost Girl in the Lands of Lore₹469,RemiLore: Lost Girl in the Lands of Lore,₹469,Pixellore Inc.,Action-AdventureRogue-Lite,Co-opSingle Player,"Nicalis, Inc.",02/12/21,Initial Release09/04/19,Windows 10,2.4 GHz Dual core,2 GB,550 MB,,,33%,59,Weak
Hitchhiker - A Mystery Game₹589,Hitchhiker - A Mystery Game,₹589,Mad About Pandas,CasualAdventure,Single Player,Versus Evil,04/15/21,WindowsWindows,Windows 7 SP1,Intel Core i3 2.00 GHz or AMD equivalent,2 GB,8 GB,,,null,null,null
Spectacular Sparky₹349,Spectacular Sparky,₹349,FreakZone Games,ActionShooterer,Single PlayerController Support,"Nicalis, Inc.",10/20/21,WindowsWindowsMac OSMac OS,Windows 7 (SP1+)/Windows 10,SSE2 instruction set support,2 GB,440 MB,,,null,null,null
Freedom Fighters₹372,Freedom Fighters,₹372,IO Interactive A/S,ActionShooter,Single Player,IO Interactive A/S,09/24/20,WindowsWindows,Windows 10,Pentium 4 2.4Ghz or Athlon XP/64-bit equivalent,2 GB,1 GB,,,null,null,null
Ticket to Ride₹297,Ticket to Ride,₹297,Days of Wonder,PartyStrategy,Multiplayer,Asmodee Digital,05/24/12,WindowsWindows,Windows 7,Dual Core 1.6 GHZ and higher,2 GB,null,null,null,null,null,null
Amnesia: The Dark Descent₹521,Amnesia:  The Dark Descent,₹521,Frictional Games,HorrorFirst Person,null,Frictional Games,04/30/20,WindowsWindowsMac OSMac OS,Windows 7,2.0 Ghz,2 GB,3 GB,,,null,null,null
Missile Command: Recharged₹69,Missile Command: Recharged,₹69,Nickervision Studios,Action,Single Player,Atari Inc,06/24/20,WindowsWindowsMac OSMac OS,Windows 7,Dual Core,2 GB,500 MB,,,60%,70,Fair
Shadow Man Remastered₹469,Shadow Man Remastered,₹469,"Nightdive Studios, Acclaim Studios Teesside",ActionHorrorAdventure,Single Player,Nightdive Studios,04/15/21,WindowsWindows,Windows 10,Intel Core i5-2300 2.8 GHz/AMD Phenom II X4 945 3.0 GHz or equivalent,2 GB,null,,,42%,74,Fair
Loop Hero₹499,Loop Hero,₹499,Four Quarters,Card GameIndie,Single Player,Devolver Digital,03/04/21,WindowsWindowsMac OSMac OS,"Windows 7, 8.1, 10 x64","Intel Core2 Duo E6750 (2 * 2660) or equivalent, AMD Athlon 64 X2 Dual Core 5000+ (2 * 2600) or equivalent",2 GB,200 MB,,,91%,84,Mighty
"Sonic Mania₹1,039",Sonic Mania,"₹1,039",Lab42,Actioner,Co-opSingle PlayerController Support,SEGA,06/24/21,Initial Release08/16/17,Windows 8 /10,Core 2 Duo,2 GB RAM,400 MB available space,,,97%,87,Mighty
Superbrothers: Sword & Sworcery EP₹186,Superbrothers: Sword & Sworcery EP,₹186,Capybara Games,IndieAdventure,Single Player,Capybara Games,07/30/20,WindowsWindows,Microsoft® Windows® 10,AMD Athlon 64 2800+ @ 1.8 Ghz and Intel Pentium IV @ 2.8 Ghz,2 GB RAM,1 GB HD space,,,null,null,null
Blazing Beaks₹349,Blazing Beaks,₹349,Applava,Rogue-LiteIndieShooter,Single PlayerCo-opController Support,Applava,10/05/21,Initial Release05/10/19,Windows 7 or later,2+ GHz Dual-Core or better,2 GB RAM,Intel HD 4000 or better,,,null,null,null
Buddy Simulator 1984₹239,Buddy Simulator 1984,₹239,Not a Sailor Studios,HorrorAdventureIndie,Single Player,Not a Sailor Studios,09/23/21,Initial Release02/18/21,Windows 7+,Dual core from Intel or AMD at 2.8 GHz,2 GB RAM,400 MB available space,,,null,null,null
Super Meat Boy₹521,Super Meat Boy,₹521,Team Meat,Actioner,Controller SupportSingle Player,Team Meat,10/20/10,WindowsWindows,Microsoft® Windows® 7 or 10,2.5GHz or faster,2 GB RAM,Medium to high end NVidia or AMD Card,,,96%,83,Strong
A Short Hike₹297,A Short Hike,₹297,Adam Robinson-Yu,CasualIndieer,null,Adam Robinson-Yu,03/04/20,WindowsWindowsMac OSMac OS,Windows 7 SP1+ (or later),Intel or AMD Dual Core at 2 GHz or better,2 GB RAM,400 MB available space,,,100%,87,Mighty
Tormentor x Punisher₹297,Tormentor x Punisher,₹297,E-Studio,ActionIndie,null,Raw Fury,03/26/20,WindowsWindows,Windows XP/Vista/7/8/8.1/10 64-bit,"Intel Core2 Duo E4500 (2 * 2200) or equivalent, AMD Athlon 64 X2 4200+ (2 * 2200) or equivalent",2 GB RAM,"GeForce 7600 GT (256 MB), Intel HD Graphics 4400 (Shared), Radeon X1600 XT (256 MB)",,,null,null,null
No Longer Home₹459,No Longer Home,₹459,Humble Grove,CasualExplorationIndie,Single Player,Fellow Traveller,07/30/21,WindowsWindowsMac OSMac OS,Windows 7 SP1,Intel i3 or equivalent,2 GB RAM,1 GB available space,,,null,null,null
Garden Story₹469,Garden Story,₹469,Picogram,ActionRPGIndie,Single PlayerController Support,Rose City Games,08/11/21,WindowsWindows,Windows Vista or greater,2 Ghz,2 GB RAM,100 MB available space,,,null,null,null
Crystal Crisis₹469,Crystal Crisis,₹469,"Nicalis, Inc.",Puzzle,MultiplayerCompetitiveSingle Player,Nicalis Inc.,07/08/21,Initial Release07/31/19,Windows 7 or higher,2.4 GHz Dual Core,2 GB RAM,2 GB available space,,,55%,77,Strong
Whispers of a Machine₹349,Whispers of a Machine,₹349,Clifftop Games | Faravid Interactive,PuzzleAdventure,Single Player,Raw Fury,11/24/20,WindowsWindowsMac OSMac OS,Windows 10,1 GHz or faster x86 or x64 processor,2 GB RAM,null,,,67%,76,Strong
Stories Untold₹446,Stories Untold,₹446,No Code,First PersonNarrationAdventure,Single Player,Devolver Digital,02/27/17,WindowsWindowsMac OSMac OSMac OSMac OS,Windows 7 or later,Intel Core™ Duo or faster,2 GB RAM,Version 9.0,,,74%,80,Strong
Hypnospace Outlaw-45%₹529₹290.95,Hypnospace Outlaw,₹290.95,Tendershoot,SimulationRPGIndie,Single PlayerController Support,No More Robots,03/26/21,WindowsWindows,"Windows XP, Vista, 7, 8, 10",1.4GHz processor or faster,2 GB RAM,500 MB,,,96%,83,Strong
RAYMAN® LEGENDS₹999,Rayman Legends,₹999,Ubisoft,ActionAdventureer,Single Player,Ubisoft,11/29/19,WindowsWindows,Windows XP SP3 or Windows Vista SP2 or Windows 7 SP1 or Windows 8 (both 32/64bit versions),Intel Core 2 Duo E4400 @ 2.0 GHz or AMD Athlon64 X2 3800+@ 2 GHz,2 GB RAM,"nVidia GeForce 9600GT or higher, AMD Radeon HD3850 or higher (512MB VRAM with Shader Model 4.0)",,,97%,90,Mighty
Atrio: The Dark Wild₹469,Atrio: The Dark Wild,₹469,Isto Inc.,SimulationSurvivalStrategy,Single Player,Isto Inc.,08/10/21,WindowsWindows,Windows 10,Intel Core i5-8250U,2 GB RAM,null,null,null,null,null,null
Where The Water Tastes Like Wine₹484,Where The Water Tastes Like Wine,₹484,Dim Bulb Games,NarrationAdventure,Single Player,Good Shepherd Entertainment,09/10/20,Initial Release02/28/18,"Windows 7, 8, 10",Intel Core2 Duo E4500 (2 * 2200) or equivalent/AMD Athlon 64 X2 4200+ (2 * 2200) or equivalent,2 GB RAM,6 GB available space,,,53%,72,Fair
Limbo₹297,Limbo,₹297,Playdead,IndiePuzzleer,Controller SupportSingle Player,Playdead,07/30/10,WindowsWindows,Windows XP / Vista / 7 / 8 / 10,5 years or younger. Integrated graphics and very low budget cards may not work. Shader Model 3.0 required,2 GHz,512 MB RAM,,,null,null,null
Crashlands₹446,Crashlands,₹446,Butterscotch Shenanigans,ActionRPGAdventure,MultiplayerSingle Player,Butterscotch Shenanigans,04/30/20,WindowsWindows,"Windows 8/8.1, 10",2.0 Ghz,2.5 GB RAM,Version 9.0,,,55%,76,Strong
Merchant of the Skies₹349,Merchant of the Skies,₹349,Coldwild Games,ExplorationStrategyAdventure,AchievementsSingle PlayerController Support,Coldwild Games,04/13/21,Initial Release07/30/19,Windows 7 SP1+,Intel Core 2 Duo,2048 MB RAM,724 MB available space,12 Achievements,1000 XP,null,null,null
CARRION₹745,CARRION,₹745,Phobia Game Studio,ActionHorrorIndie,Single Player,Devolver Digital,10/29/20,WindowsWindowsMac OSMac OS,Requires a 64-bit processor and operating system,4 core processor,2048 MB RAM,500 MB,,,75%,76,Strong
Luna's Fishing Garden₹279,Luna's Fishing Garden,₹279,Coldwild Games,CasualSimulationExploration,Achievements,Coldwild Games,06/16/21,WindowsWindows,Windows 7 (SP1+) or later,"Intel Core Duo or later (x86, x64 architecture with SSE2 instruction set support)",2048 MB RAM,null,14 Achievements,1000 XP,null,null,null
"Watch Dogs Standard Edition₹1,499",Watch Dogs,"₹1,499",Ubisoft Montreal,ActionAdventure,Co-opSingle Player,Ubisoft,03/19/20,WindowsWindows,Windows Vista (SP2) x64 / Windows 7 (SP1) x64 / Windows® 8 x64 (x64 bit versions only),3.5 GHz Intel Core i7-3770 or 4.0 GHz AMD FX-8350 or better,2048 VRAM DirectX 11 with Shader Model 5.0 or higher,8 GB RAM or greater,,,67%,79,Strong
